Year,Club,Source,Target,Amount,Unnamed: 5,2021
2022,Grêmio,Campeonato Brasileiro,Receita de transmissão,61076,,158464
2022,Grêmio,Campeonato Gaúcho,Receita de transmissão,7635,,13974
2022,Grêmio,Copa Sulamericana,Receita de transmissão,0,,7816
2022,Grêmio,Taça Libertadores da América,Receita de transmissão,0,,5986
2022,Grêmio,Copa do Brasil,Receita de transmissão,1270,,4400
2022,Grêmio,Receita de Royalties,Receitas Comerciais,5987,,8362
2022,Grêmio,Receitas comerciais Grêmio Mania,Receitas Comerciais,5182,,5284
2022,Grêmio,Receitas Comerciais,Receitas Comerciais,43980,,45396
2022,Grêmio,Receita de transmissão,Receita Esportiva Recorrente,69981,,190640
2022,Grêmio,Receitas Patrimoniais,Receita Esportiva Recorrente,53330,,56079
2022,Grêmio,Receitas Comerciais,Receita Esportiva Recorrente,55149,,59042
2022,Grêmio,Luvas Contratuais,Receita Esportiva Recorrente,18539,,16039
2022,Grêmio,Matchday,Receita Esportiva Recorrente,91,,180
2022,Grêmio,Negociação de Atletas,Receita Esportiva Não Recorrente,96704,,156215
2022,Grêmio,Mecaniso de Solidariedade,Receita Esportiva Não Recorrente,5329,,2688
2022,Grêmio,Doações - Terreno,Outras Receitas Operacionais,16772,,0
2022,Grêmio,Recuperação de Despesas,Outras Receitas Operacionais,24314,,17176
2022,Grêmio,Receita Esportiva Recorrente,Receita Operacional,197090,,321980
2022,Grêmio,Receita Esportiva Não Recorrente,Receita Operacional,102033,,158903
2022,Grêmio,Outras Receitas Operacionais,Receita Operacional,41086,,17176
2022,Grêmio,"Salários, Benefícios, Encargos",Despesas Esportivas,-115950,,-134733
2022,Grêmio,"Empréstimos, Comissões s/ Negociações Atletas",Despesas Esportivas,-26159,,-15567
2022,Grêmio,Amortização de direitos sobre atletas,Despesas Esportivas,-84975,,-72042
2022,Grêmio,Viagens,Despesas Esportivas,-4553,,-19228
2022,Grêmio,"Federação, Imagem, Prêmios, Material Esportivo",Despesas Esportivas,-86631,,-103789
2022,Grêmio,Ingressos de Associados Arena,Despesas Esportivas,-21682,,-21072
2022,Grêmio,"Remunerações, benefícios e encargos sociais -",Despesas Gerais e Administrativas,-34188,,-30481
2022,Grêmio,Tributos e contribuições federais,Despesas Gerais e Administrativas,-7354,,-11037
2022,Grêmio,Serviços de terceiros,Despesas Gerais e Administrativas,-12526,,-11813
2022,Grêmio,Contingências judiciais,Despesas Gerais e Administrativas,-2391,,-35972
2022,Grêmio,"Aluguéis, seguros, materiais de consumo",Despesas Gerais e Administrativas,-4728,,-6459
2022,Grêmio,Depreciação,Despesas Gerais e Administrativas,-3689,,-4234
2022,Grêmio,"Água, luz, telefonia, manutenção",Despesas Gerais e Administrativas,-5597,,-8439
2022,Grêmio,Despesas Esportivas,Despesa Operacional,-339950,,-366431
2022,Grêmio,Despesas Gerais e Administrativas,Despesa Operacional,-70473,,-108435
2022,Grêmio,Receitas Financeiras,Resultado Financeiro,49253,,42182
2022,Grêmio,Despesas Financeiras,Resultado Financeiro,-75379,,51154
2022,Grêmio,Receita Operacional,(Déficit) e Superávit do exercício,340209,,498059
2022,Grêmio,Despesa Operacional,(Déficit) e Superávit do exercício,-410423,,-474866
2022,Grêmio,Resultado Financeiro,(Déficit) e Superávit do exercício,-26126,,93336
